ID,school_name,road_name,postal_code,facilities,Longitude,Latitude
48,East Coast Primary School,8 Chai Chee Lane,469031,Free To Play Field,103.9198874,1.329101365
49,Ahmad Ibrahim Primary School,10 Yishun Street 11,768643,Free To Play Field,103.8327505,1.433414082
50,Ahmad Ibrahim Secondary School,751 Yishun Avenue 7,768928,Chargeable Field,103.8297153,1.436061622
51,Anchor Green Primary School,31 Anchorvale Drive,544969,"Free To Play Field, Indoor Sports Hall",103.8871646,1.390370453
52,Anderson Secondary School,10 Ang Mo Kio Street 53,569206,"Chargeable Field, Indoor Sports Hall",103.85143,1.374242179
53,Ang Mo Kio Secondary School,6 Ang Mo Kio Street 22,569362,"Chargeable Field, Indoor Sports Hall",103.842155,1.367337094
54,Bartley Secondary School,10 Jalan Bunga Rampai,538403,Chargeable Field,103.882455,1.340017411
55,Beatty Secondary School,1 Toa Payoh North,318990,"Chargeable Field, Indoor Sports Hall",103.8520185,1.341790507
56,Bedok Green Primary School,1 Bedok South Avenue 2,469317,Free To Play Field,103.937745,1.323996283
57,Bedok Green Secondary School,360 Bedok North Avenue 3,469722,Chargeable Field,103.9350284,1.334519464
58,East Spring Secondary School,30 Tampines Street 34,529231,"Chargeable Field, Indoor Sports Hall",103.9606387,1.356225071
59,East View Primary School,4 Tampines Street 91,528907,Free To Play Field,103.9395466,1.346960326
60,East View Secondary School,3 Tampines Street 42,529177,"Chargeable Field, Indoor Sports Hall",103.9495873,1.358261752
61,Edgefield Primary School,41 Edgefield Plains,828869,Free To Play Field,103.9074305,1.400297827
62,Elias Park Primary School,11 Pasir Ris Street 52,518866,Free To Play Field,103.9451281,1.374512689
63,Endeavour Primary School,10 Admiralty Link,757521,"Free To Play Field, Indoor Sports Hall",103.8174273,1.454176287
64,Fuchun Secondary School,21 Woodlands Avenue 1,739062,Chargeable Field,103.777148,1.43083398
65,Fuhua Primary School,65 Jurong East Street 13,609647,Free To Play Field,103.7361038,1.336503942
66,Fuhua Secondary School,5 Jurong West Street 41,649410,"Chargeable Field, Indoor Sports Hall",103.7265209,1.347014082
67,Gan Eng Seng Primary School,100 Redhill Close,158901,Free To Play Field,103.8152282,1.2859554
68,Gan Eng Seng School,1 Henderson Road,159561,Indoor Sports Hall,103.8237337,1.28907115
69,Gongshang Primary School,1 Tampines Street 42,529176,Indoor Sports Hall,103.9488613,1.357322995
70,Greendale Primary School,50 Edgefield Plains,828848,Indoor Sports Hall,103.9123411,1.396487608
71,Greendale Secondary School,51 Edgedale Plains,828866,Chargeable Field,103.9115758,1.397280793
72,Greenridge Secondary School,32 Bukit Panjang Road,679938,"Chargeable Field, Indoor Sports Hall",103.773617,1.381924179
73,Greenview Secondary School,15 Pasir Ris Street 21,518969,Chargeable Field,103.9626934,1.369306024
74,Hai Sing Catholic School,9 Pasir Ris Drive 6,519421,Chargeable Field,103.9547513,1.374638201
75,Henderson Secondary School,100 Henderson Road,159544,Chargeable Field,103.8194796,1.285006483
76,Hong Kah Secondary School,931 Jurong West Street 42,649370,Indoor Sports Hall,103.7266579,1.35204084
77,Hougang Primary School,1 Hougang Street 93,534238,Indoor Sports Hall,103.8808073,1.377382483
78,Bedok North Secondary School,20 Jalan Damai,419612,"Chargeable Field, Indoor Sports Hall",103.9102931,1.334274278
79,Bedok South Secondary School,1 Jalan Langgar Bedok,468585,"Chargeable Field, Indoor Sports Hall",103.9509429,1.325188585
80,Bedok View Secondary School,6 Bedok South Avenue 3,469293,"Chargeable Field, Indoor Sports Hall",103.9434752,1.323999396
81,Bendemeer Secondary School,1 St. Wilfred Road,327919,"Chargeable Field, Indoor Sports Hall",103.8605184,1.324348434
82,Bishan Park Secondary School,2 Sin Min Walk,575565,Chargeable Field,103.8326901,1.364839343
83,Blangah Rise Primary School,91 Telok Blangah Heights,109100,Free To Play Field,103.8086284,1.276120342
84,Boon Lay Garden Primary School,20 Boon Lay Drive,649930,Free To Play Field,103.712969,1.342846706
85,Boon Lay Secondary School,11 Jurong West Street 65,648354,Chargeable Field,103.7017029,1.343223713
86,Bowen Secondary School,2 Lorong Napiri,547529,Chargeable Field,103.877459,1.370751068
87,Keming Primary School,90 Bukit Batok East Ave 6,659762,Free To Play Field,103.7559232,1.345063494
88,Kent Ridge Secondary School,147 West Coast Road,127368,"Chargeable Field, Indoor Sports Hall",103.7649275,1.301352889
